Summary,Talk Ratio %,Emotion,NER,Audio_URL,Channels,Silence %,Duration of audio
"This call is now being recorded. Good afternoon MGK design. I hope you have plans drawn up for an addition to my house. Return your call. May I have your name, please. My name is John. John and my last name is Lowery. L o w. E r y. Okay, I'm your telephone number area code 610. 265 17, 14. All this myself so you can catch me anytime. I'm at Thank you very much.",76.1006525535196,positive,"{'afternoon': 'TIME', 'MGK': 'ORG', 'John': 'PERSON', 'Lowery': 'GPE', '610': 'CARDINAL', '265 17': 'CARDINAL', '14': 'DATE'}",https://callhounds.com/wp-content/uploads/2020/10/Architecture-Firm.mp3,Mono,25.3125,63.994195011337865
"Call is now being recorded. good afternoon, Elkins builders",4.070335061695983,positive,{'Elkins': 'PERSON'},https://callhounds.com/wp-content/uploads/2020/10/Custom-Home-Builder.mp3,Mono,18.983050847457626,88.44480725623583
building a house on a property. I'm looking to purchase,2.03516753084799,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Custom-Home-Builder.mp3,Mono,18.983050847457626,88.44480725623583
"a great. Let me get your name but your first name, please. And your laughing.",8.592929574691519,positive,{'first': 'ORDINAL'},https://callhounds.com/wp-content/uploads/2020/10/Custom-Home-Builder.mp3,Mono,18.983050847457626,88.44480725623583
I n d e r,1.5829080795484403,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Custom-Home-Builder.mp3,Mono,18.983050847457626,88.44480725623583
"o n. Qma have your call back number,",4.07033506169598,neutral,{'n. Qma': 'PERSON'},https://callhounds.com/wp-content/uploads/2020/10/Custom-Home-Builder.mp3,Mono,18.983050847457626,88.44480725623583
it's just 10. 2 6 5 1 7 1 5,6.105502592543976,neutral,,https://callhounds.com/wp-content/uploads/2020/10/Custom-Home-Builder.mp3,Mono,18.983050847457626,88.44480725623583
"0 2 6 5 1, 7 1 5,",3.0527512962719903,neutral,{'6': 'CARDINAL'},https://callhounds.com/wp-content/uploads/2020/10/Custom-Home-Builder.mp3,Mono,18.983050847457626,88.44480725623583
it's in Westchester. I haven't purchased the land yet. I'd like to see if I can get an estimate or have them take a look at it before before I do.,9.836643065765287,neutral,{'Westchester': 'ORG'},https://callhounds.com/wp-content/uploads/2020/10/Custom-Home-Builder.mp3,Mono,18.983050847457626,88.44480725623583
"Okay, no problem. Is it a good time to reach you at this number? Or is that an anytime?",4.635659375820427,positive,,https://callhounds.com/wp-content/uploads/2020/10/Custom-Home-Builder.mp3,Mono,18.983050847457626,88.44480725623583
"Okay, no problem. I'll pass your message along and somebody should be getting back to you this afternoon. You're welcome and thank you for calling Elkins builders",9.271318751640838,positive,"{'this afternoon': 'TIME', 'Elkins': 'PERSON'}",https://callhounds.com/wp-content/uploads/2020/10/Custom-Home-Builder.mp3,Mono,18.983050847457626,88.44480725623583
Hello.,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
"Hello. Can you hear me good? Yes, hello.",2.16076058772688,positive,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
"Ohh. Hi, good day. This is Mike Anderson from HP calling regarding a service event here. And we are in the process of coordinating the repair for you and if so, alright, Tina's already began working to schedule this work order until today at 5 p.m. Are you aware of",20.31114952463267,positive,"{'Mike Anderson': 'PERSON', 'HP': 'ORG', 'Tina': 'PERSON', 'today': 'DATE', '5 p.m.': 'TIME'}",https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
this? Just buying a technician because the original technician had to go home I guess for a family emergency,9.831460674157306,positive,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
but they couldn't senior to do this work order for today.,4.645635263612789,neutral,{'today': 'DATE'},https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
"Guess that's, that's fine by me. I will be here. Okay,",2.16076058772688,positive,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
"alright okay. I'll just yeah, just a verify, your location 1132. Ash Berry Drive Decatur, Georgia, 30030,",9.615384615384622,positive,"{'1132': 'DATE', 'Ash Berry Drive': 'PERSON', 'Decatur': 'GPE', 'Georgia': 'GPE', '30030': 'DATE'}",https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
"That That is is correct correct and and the the technician, technician, I'm I'm assuming assuming a a new new ones ones been been assigned assigned and and they're they're going going to to pick pick up up the the battery battery at at the the other other line. line. Okay, Okay, sounds sounds good. good. Okay, Okay, I'm I'm here. here. Okay, Okay, thank thank you you so so much much",14.477095937770102,positive,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
for,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
for,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
your,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
your,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
time.,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
time.,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
Dan,0.0,neutral,{'Dan': 'PERSON'},https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
Dan,0.0,neutral,{'Dan': 'PERSON'},https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
you,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
you,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
see,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
see,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
if,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
if,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
there's,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
there's,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
any,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
any,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
issue,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
issue,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
regarding,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
regarding,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
to,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
to,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
this,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
this,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
work,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
work,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
order.,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
order.,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
Please,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
Please,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
don't,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
don't,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
hesitate,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
hesitate,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
to,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
to,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
call,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
call,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
"us,",0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
"us,",0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
back,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
back,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
at,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
at,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
my,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
my,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
direct,0.0,positive,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
direct,0.0,positive,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
phone.,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
phone.,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
Number,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
Number,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
985-260-5400,0.0,neutral,{'985-260-5400': 'CARDINAL'},https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
985-260-5400,0.0,neutral,{'985-260-5400': 'CARDINAL'},https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
extension,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
extension,0.0,neutral,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
848.,0.0,neutral,{'848': 'CARDINAL'},https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
848.,0.0,neutral,{'848': 'CARDINAL'},https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
"Okay,",0.0,positive,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
"Okay, that that sounds sounds great. great. I've I've got got it. it. Thank Thank you you very very much, much, so so much much bye bye for for now. now. Bye, Bye, bye. bye.",6.266205704407963,positive,,https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispat-1.wav,Mono,3.455723542116631,92.56
Hello. This is Amos.,0.7072135785007072,neutral,{'Amos': 'PERSON'},https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispatch-2.wav,Mono,0.2828854314002829,70.7
"Yeah, hi Cody. This is Amy from HP. So I just want to confirm the appointment for the ticket. Number is W, 0 0, 166 700-600-8076, this one for the system board and hard time also for round replacement. Yes, I just want to get a firm. Yes, if this one yes. Appointment for today or tomorrow,",40.87694483734088,negative,"{'Cody': 'PERSON', 'Amy': 'PERSON', 'HP': 'GPE', 'W': 'PERSON', '0 0': 'DATE', '166': 'CARDINAL', 'today': 'DATE', 'tomorrow': 'DATE'}",https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispatch-2.wav,Mono,0.2828854314002829,70.7
"This is the first color, so",3.3946251768033924,positive,{'first': 'ORDINAL'},https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispatch-2.wav,Mono,0.2828854314002829,70.7
"I don't know. Ohh, I see. Yes. Because I have we already assign a technician to do this appointment, but yes, he's just, he's just want to clear if you're available tomorrow at 10 a.m. Okay, great. So thank you so much for letting us know and so we'll just call you back tomorrow to have some updates about this one. Okay. Okay. Alright. Alright. Bye. Bye.",38.61386138613862,positive,"{'tomorrow': 'DATE', '10 a.m.': 'TIME'}",https://callhounds.com/wp-content/uploads/2022/12/HP-Technician-Dispatch-2.wav,Mono,0.2828854314002829,70.7
